"GeoID","VariableID","Date","Value"
6001,"CARS_Affordability","1991-01-01",0.21
6001,"CARS_Affordability","1991-02-01",0.2
6001,"CARS_Affordability","1991-03-01",0.21
6001,"CARS_Affordability","1991-04-01",0.18
6001,"CARS_Affordability","1991-05-01",0.17
6001,"CARS_Affordability","1991-06-01",0.2
6001,"CARS_Affordability","1991-07-01",0.19
6001,"CARS_Affordability","1991-08-01",0.2
6001,"CARS_Affordability","1991-09-01",0.22
6001,"CARS_Affordability","1991-10-01",0.24
6001,"CARS_Affordability","1991-11-01",0.25
6001,"CARS_Affordability","1991-12-01",0.24
6001,"CARS_Affordability","1992-01-01",0.29
6001,"CARS_Affordability","1992-02-01",0.28
6001,"CARS_Affordability","1992-03-01",0.26
6001,"CARS_Affordability","1992-04-01",0.25
6001,"CARS_Affordability","1992-05-01",0.27
6001,"CARS_Affordability","1992-06-01",0.26
6001,"CARS_Affordability","1992-07-01",0.29
6001,"CARS_Affordability","1992-08-01",0.29
6001,"CARS_Affordability","1992-09-01",0.31
6001,"CARS_Affordability","1992-10-01",0.32
6001,"CARS_Affordability","1992-11-01",0.31
6001,"CARS_Affordability","1992-12-01",0.3
6001,"CARS_Affordability","1993-01-01",0.34
6001,"CARS_Affordability","1993-02-01",0.37
6001,"CARS_Affordability","1993-03-01",0.34
6001,"CARS_Affordability","1993-04-01",0.34
6001,"CARS_Affordability","1993-05-01",0.34
6001,"CARS_Affordability","1993-06-01",0.32
6001,"CARS_Affordability","1993-07-01",0.36
6001,"CARS_Affordability","1993-08-01",0.34
6001,"CARS_Affordability","1993-09-01",0.38
6001,"CARS_Affordability","1993-10-01",0.4
6001,"CARS_Affordability","1993-11-01",0.38
6001,"CARS_Affordability","1993-12-01",0.4
6001,"CARS_Affordability","1994-01-01",0.39
6001,"CARS_Affordability","1994-02-01",0.4
6001,"CARS_Affordability","1994-03-01",0.38
6001,"CARS_Affordability","1994-04-01",0.35
6001,"CARS_Affordability","1994-05-01",0.37
6001,"CARS_Affordability","1994-06-01",0.33
6001,"CARS_Affordability","1994-07-01",0.35
6001,"CARS_Affordability","1994-08-01",0.36
6001,"CARS_Affordability","1994-09-01",0.33
6001,"CARS_Affordability","1994-10-01",0.34
6001,"CARS_Affordability","1994-11-01",0.35
6001,"CARS_Affordability","1994-12-01",0.33
6001,"CARS_Affordability","1995-01-01",0.37
6001,"CARS_Affordability","1995-02-01",0.35
6001,"CARS_Affordability","1995-03-01",0.35
6001,"CARS_Affordability","1995-04-01",0.34
6001,"CARS_Affordability","1995-05-01",0.33
6001,"CARS_Affordability","1995-06-01",0.33
6001,"CARS_Affordability","1995-07-01",0.34
6001,"CARS_Affordability","1995-08-01",0.34
6001,"CARS_Affordability","1995-09-01",0.34
6001,"CARS_Affordability","1995-10-01",0.36
6001,"CARS_Affordability","1995-11-01",0.36
6001,"CARS_Affordability","1995-12-01",0.38
6001,"CARS_Affordability","1996-01-01",0.39
6001,"CARS_Affordability","1996-02-01",0.39
6001,"CARS_Affordability","1996-03-01",0.37
6001,"CARS_Affordability","1996-04-01",0.36
6001,"CARS_Affordability","1996-05-01",0.35
6001,"CARS_Affordability","1996-06-01",0.35
6001,"CARS_Affordability","1996-07-01",0.33
6001,"CARS_Affordability","1996-08-01",0.34
6001,"CARS_Affordability","1996-09-01",0.34
6001,"CARS_Affordability","1996-10-01",0.35
6001,"CARS_Affordability","1996-11-01",0.36
6001,"CARS_Affordability","1996-12-01",0.39
6001,"CARS_Affordability","1997-01-01",0.38
6001,"CARS_Affordability","1997-02-01",0.4
6001,"CARS_Affordability","1997-03-01",0.4
6001,"CARS_Affordability","1997-04-01",0.34
6001,"CARS_Affordability","1997-05-01",0.34
6001,"CARS_Affordability","1997-06-01",0.34
6001,"CARS_Affordability","1997-07-01",0.33
6001,"CARS_Affordability","1997-08-01",0.35
6001,"CARS_Affordability","1997-09-01",0.35
6001,"CARS_Affordability","1997-10-01",0.35
6001,"CARS_Affordability","1997-11-01",0.35
6001,"CARS_Affordability","1997-12-01",0.37
6001,"CARS_Affordability","1998-01-01",0.38
6001,"CARS_Affordability","1998-02-01",0.38
